16.678,13.018
6.583,-5.539
-19.837,6.089
-8.412,6.11
1.052,11.595
10.017,-22.265
1.994,21.24
-3.822,-3.461
-5.573,-7.109
7.508,-8.368
1.7,11.161
15.732,4.148
17.54,10.986
12.65,-8.924
-9.358,-23.222
-3.59,4.587
13.125,-44.929
1.888,-4.395
-2.302,10.603
-8.603,7.327
12.797,4.033
-2.705,6.012
-9.624,-0.792
-4.085,2.522
1.509,10.054
-15.971,10.464
19.468,-3.081
-17.363,-3.091
16.753,11.153
22.067,-14.549
-13.069,14.763
-26.414,-5.935
0.223,-1.053
-1.802,-9.015
-17.604,17.663
-8.354,4.436
-10.17,15.321
-25.637,-10.752
8.862,-2.271
4.965,3.364
0.688,-3.453
-11.478,-1.988
-1.683,-4.851
-6.436,8.969
-0.241,-2.644
17.23,1.437
-3.791,6.05
7.255,-7.614
2.948,13.978
8.012,-23.824
18.637,9.091
-5.601,9.672
-6.305,-21.254
1.629,1.594
-16.105,-7.601
12.9,-7.245
-0.901,1.804
3.935,-6.912
-7.173,10.929
-1.899,1.018
11.192,-3.977
3.462,4.134
18.418,-9.191
-4.441,-23.231
-5.043,6.76
17.807,10.758
1.103,2.169
0.45,-2.229
-4.054,-4.006
-3.873,-22.642
-6.694,14.277
11.288,-4.464
-6.76,-8.843
14.812,12.035
5.446,10.025
2.283,-6.257
11.501,1.132
13.628,11.697
-8.89,-9.746
-5.564,30.435
-8.829,1.671
25.035,-10.756
-9.084,8.775
18.194,-16.006
-6.034,-2.231
14.496,1.312
-6.539,6.046
15.234,23.679
5.477,-6.249
0.998,-13.737
4.553,-5.622
-5.634,-22.807
5.768,-7.449
11.264,-2.312
-9.577,5.976
1.366,-4.774
-6.411,-11.564
3.225,-16.366
-8.897,-5.589
10.436,6.772
-2.288,10.478
-1.745,-13.234
0.602,10.464
-10.493,4.465
13.007,-3.09
-3.164,-4.254
-15.715,1.818
8.095,-0.208
-11.902,-19.966
6.932,-21.652
-21.159,-1.408
-1.375,-12.696
4.327,7.467
8.25,4.066
6.902,-4.52
3.755,-28.649
7.582,7.337
14.837,10.7
13.653,9.474
5.079,-9.69
7.942,-10.121
-5.001,0.471
7.227,-2.74
-3.304,13.142
-2.037,-8.799
-6.904,-4.077
-12.763,-5.351
-0.207,-4.141
5.516,1.102
4.584,-16.002
13.256,10.871
1.976,5.425
-9.194,9.092
-16.081,15.504
-2.995,2.604
0.935,5.947
0.604,-16.915
17.558,0.627
-13.196,3.026
10.562,-16.949
-3.125,4.082
1.671,4.829
-21.57,3.325
-9.763,-9.241
4.23,0.657
-15.47,-11.913
0.731,-4.349
14.859,-8.583
0.252,8.566
-1.36,1.911
2.015,22.58
11.186,-2.738
8.642,0.402
-2.877,16.852
8.814,0.413
17.559,-17.029
-1.631,-7.061
11.015,-19.048
-0.092,3.975
5.115,-4.692
4.268,10.451
-6.119,9.393
4.808,-23.971
-2.812,5.797
-20.528,-2.979
7.696,28.619
-22.06,-2.896
-17.424,-4.997
1.428,-9.269
19.782,-3.914
-2.319,0.283
12.356,4.103
-17.574,-8.246
2.968,1.181
3.282,21.866
-16.786,-3.205
7.068,6.989
-2.431,3.605
5.182,-1.341
-6.245,-1.022
2.801,13.862
-17.113,-4.885
19.526,-29.314
-1.067,-15.742
-2.61,0.738
15.841,-7.198
13.694,-0.861
-1.978,-26.247
3.727,-7.13
-15.674,16.799
-2.469,-0.271
3.594,-8.358
1.024,8.308
-15.276,8.818
-0.783,9.197
-6.216,12.179
-1.289,-1.142
8.106,-9.747
-2.813,-5.566
7.861,16.064
25.7,6.183
-6.335,3.295
-1.866,-6.37
1.519,-25.37
2.002,-10.121
-0.707,-3.405
-3.916,-18.891
-0.807,-1.52
-4.969,-11.064
15.942,-8.398
11.902,10.325
7.594,9.121
19.641,3.667
22.997,-1.43
-2.306,10.68
13.687,-2.37
-11.326,-26.661
-1.35,-19.362
-5.747,1.097
-6.622,-2.75
9.999,-2.184
-2.3,9.231
3.983,-27.344
-7.243,1.677
-17.921,18.06
-6.402,1.901
-7.769,-16.682
-1.256,-13.122
-9.602,12.189
-8.813,-1.586
-7.741,14.224
-1.206,-7.738
-0.872,-25.179
5.553,-1.888
-0.883,-6.78
12.352,0.595
1.721,-2.359
-1.863,10.896
-10.446,23.715
-8.492,7.953
-5.929,2.615
-3.136,0.762
15.254,10.132
-11.774,-1.421
1.202,7.762
3.087,-6.049
-4.122,6.609
3.799,-5.599
1.637,-4.346
8.755,2.444
-18.176,-11.296
7.297,3.578
9.257,-0.033
-24.785,0.37
